Country,WHO Group,3TC_Actual,3TC_Computed,3TC_Diff,ABC_Actual,ABC_Computed,ABC_Diff,AZT_Actual,AZT_Computed,AZT_Diff,ddl_Actual,ddl_Computed,ddl_Diff,d4T_Actual,d4T_Computed,d4T_Diff,EFV_Actual,EFV_Computed,EFV_Diff,FTC_Actual,FTC_Computed,FTC_Diff,LPV/r_Actual,LPV/r_Computed,LPV/r_Diff,NVP_Actual,NVP_Computed,NVP_Diff,TDF_Actual,TDF_Computed,TDF_Diff,ATV/r_Actual,ATV/r_Computed,ATV/r_Diff,Overall_Actual,Overall_Computed,Overall_Diff
Aruba,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,A,28.29,28.295799219153768,0.0057992191537685756,0.42,0.4187536011049671,-0.001246398895032863,10.59,10.58983182431801,-0.0001681756819902347,0.01,0.009248199064624821,-0.0007518009353751787,0.05,0.04771643353021708,-0.0022835664697829217,21.62,21.623936622124727,0.003936622124726341,7.62,7.616275460040611,-0.0037245399593892614,2.33,2.3271971194926344,-0.002802880507365657,11.58,11.5803536218633,0.00035362186329912504,25.57,25.129111983833102,-0.4408880161668982,0.39,0.38857661089224355,-0.0014233891077564675,108.46,108.0268006954182,-0.433199304581791
Austria,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,A,25.93,25.93279866378592,0.002798663785920752,0.41,0.4086080404976139,-0.0013919595023860754,9.97,9.968875944736492,-0.001124055263508339,0.01,0.00894188953105847,-0.0010581104689415307,0.05,0.04608933094488265,-0.003910669055117354,19.37,19.375274879173116,0.005274879173114755,7.0,7.002132126026218,0.0021321260262183728,2.33,2.328730621737643,-0.0012693782623571792,10.85,10.842845278956588,-0.007154721043411527,23.24,22.789119846987333,-0.4508801530126654,0.4,0.3958046799182616,-0.004195320081738396,99.55,99.09922130229512,-0.45077869770487666
Bahamas,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,A,38.03,38.03352581268944,0.0035258126894390784,0.15,0.1518201394567958,0.001820139456795794,14.14,14.144877344726913,0.004877344726912369,0.0,0.0,0.0,0.0,0.0,0.0,29.42,29.424044600421436,0.004044600421433842,10.71,10.710342611219257,0.0003426112192563835,3.19,3.1922857387329358,0.0022857387329358048,15.53,15.53034945553397,0.00034945553397136564,35.53,34.85280491329161,-0.6771950867083945,0.6,0.597188629220336,-0.0028113707796639797,147.31,146.63723924529268,-0.6727607547073262
Bangladesh,A,96.37,96.31201350195487,-0.057986498045139,5.81,5.795302759641486,-0.014697240358513497,40.35,40.29374660385532,-0.056253396144683165,0.16,0.16459431023430304,0.0045943102343030395,0.84,0.8420681835351992,0.0020681835351992195,64.0,63.998692666402505,-0.0013073335974951306,22.17,22.17204326084417,0.00204326084416806,10.71,10.699056362537728,-0.010943637462272449,42.69,42.65055593450204,-0.03944406549796042,74.03,72.58535752984913,-1.4446424701508676,1.28,1.2779390157763602,-0.0020609842236398723,358.42,356.79137012913316,-1.6286298708668596
Barbados,B,17.26,17.26108469610647,0.00108469610646722,0.07,0.0681885675290004,-0.0018114324709996021,6.4,6.403044107220398,0.0030441072203979402,0.0,0.0,0.0,0.0,0.0,0.0,13.38,13.381945472939679,0.0019454729396777282,4.86,4.859426969255142,-0.0005730307448583716,1.44,1.4359771729703155,-0.004022827029684484,7.03,7.0343285891143905,0.004328589114390269,16.13,15.831504514013249,-0.29849548598675035,0.27,0.268260430337225,-0.001739569662774998,66.84,66.54376051948586,-0.2962394805141457
Belarus,A,131.78,131.80906140779834,0.02906140779833777,1.05,1.0516727469371288,0.0016727469371287107,49.84,49.848339399687816,0.008339399687812943,0.01,0.014949373651988765,0.004949373651988765,0.08,0.07717656836373694,-0.0028234316362630574,100.31,100.33397476607323,0.023974766073223464,36.61,36.614923011673774,0.004923011673774624,11.52,11.522706745418956,0.0027067454189566575,54.48,54.485272135118485,0.005272135118488563,121.23,118.88445691808273,-2.3455430819172705,2.09,2.0949451859877413,0.004945185987741407,509.0,506.7374782587939,-2.2625217412061147
Belgium,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,B,14.65,14.643511495350998,-0.0064885046490026355,0.69,0.6922686273347025,0.0022686273347025665,6.04,6.031156941483938,-0.00884305851606193,0.02,0.01872424917758923,-0.0012757508224107705,0.1,0.09646890399333581,-0.0035310960066641944,10.05,10.04877358775393,-0.001226412246071007,3.49,3.4929873452706066,0.0029873452706064008,1.48,1.4811806030489998,0.0011806030489998065,6.44,6.430920836298306,-0.009079163701694704,11.68,11.465619854819897,-0.21438014518010284,0.19,0.1917992035403853,0.0017992035403852913,54.83,54.59341164807268,-0.23658835192731686
Benin,A,400.56,400.2350597257074,-0.32494027429260086,30.52,30.43422610637542,-0.08577389362458021,171.85,171.52843956518868,-0.32156043481131746,0.87,0.8751933129070087,0.005193312907008751,4.48,4.482615984722219,0.0026159847222189114,256.0,255.9845557576395,-0.015444242360501903,85.84,85.83828098377035,-0.0017190162296571998,46.0,45.92942864744387,-0.07057135255612934,180.47,180.2301109161891,-0.23988908381090823,289.01,283.68615202452236,-5.3238479754776336,4.68,4.685295312543995,0.005295312543995401,1470.3,1463.90935833701,-6.390641662989992
Bermuda,B,0.88,0.8773984286981823,-0.0026015713018177067,0.0,0.0035023508590857153,0.0035023508590857153,0.33,0.3263092992617381,-0.0036907007382619428,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.6787856225977767,-0.001214377402223299,0.25,0.24707774462413074,-0.002922255375869265,0.07,0.073643093330711,0.0036430933307110003,0.36,0.35827086546030734,-0.001729134539692645,0.82,0.8040221255649079,-0.01597787443509202,0.01,0.01377659193351796,0.00377659193351796,3.4,3.3827861223303577,-0.01721387766964222
Bhutan,A,1.02,1.0188370404784202,-0.0011629595215798538,0.0,0.004140816994055234,0.004140816994055234,0.38,0.38056134037264183,0.0005613403726418276,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.7853297861799583,-0.004670213820041735,0.29,0.28701174434984866,-0.002988255650151317,0.09,0.08683395333559166,-0.0031660466644083396,0.42,0.41740119669745773,-0.002598803302542252,0.95,0.9322059163101504,-0.017794083689849582,0.02,0.016283848615261463,-0.003716151384738537,3.95,3.9286056433333854,-0.021394356666614822
Bolivia,B,28.96,28.96175786067965,0.0017578606796497809,0.1,0.10325567416763068,0.0032556741676306733,10.45,10.452132941516771,0.0021329415167716803,0.0,0.0,0.0,0.0,0.0,0.0,22.92,22.91787083337476,-0.002129166625241652,8.11,8.109330504179754,-0.0006694958202455581,2.2,2.205146820724991,0.0051468207249909526,11.54,11.541318542434464,0.001318542434464831,27.25,26.792172747050575,-0.45782725294942495,0.41,0.4067521683251895,-0.003247831674810464,111.94,111.48973809245378,-0.45026190754622064
